method,tag,seed,budgetFraction,budgetPct,budgetSeconds,elapsedPhase,mutantsEvaluated,killed,retainedKills,retainedCount,outsideBaseline,killedFromTrace,mutationScore,populationKillCoverage,status,feasible,populationKillCoverageUncond,recordedMutationScore,decisionPct,conditionPct,mcdcPct,uniqueTests
random_mutant,seed03_b010,3,0.1,10,290.978598800001,306.530714,22,20,14.2857142857143,20,0,20,90.9090909090909,10.9289617486339,,1,10.9289617486339,90.9090909090909,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed03_b020,3,0.2,20,581.957197600001,584.447663,39,30,21.4285714285714,30,0,30,76.9230769230769,16.3934426229508,,1,16.3934426229508,76.9230769230769,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed03_b030,3,0.3,30,872.935796400002,880.75573,61,46,32.8571428571429,46,0,46,75.4098360655738,25.1366120218579,,1,25.1366120218579,75.4098360655738,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed03_b040,3,0.4,40,1163.9143952,1175.954523,78,62,44.2857142857143,62,0,62,79.4871794871795,33.879781420765,,1,33.879781420765,79.4871794871795,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed03_b050,3,0.5,50,1454.892994,1455.765852,93,71,50.7142857142857,71,0,71,76.3440860215054,38.7978142076503,,1,38.7978142076503,76.3440860215054,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed04_b010,4,0.1,10,290.978598800001,293.336615,20,16,11.4285714285714,16,0,16,80,8.7431693989071,,1,8.7431693989071,80,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed04_b020,4,0.2,20,581.957197600001,592.338694,43,37,26.4285714285714,37,0,37,86.046511627907,20.2185792349727,,1,20.2185792349727,86.046511627907,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed04_b030,4,0.3,30,872.935796400002,893.849069,62,51,36.4285714285714,51,0,51,82.258064516129,27.8688524590164,,1,27.8688524590164,82.258064516129,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed04_b040,4,0.4,40,1163.9143952,1174.750392,77,60,42.8571428571429,60,0,60,77.9220779220779,32.7868852459016,,1,32.7868852459016,77.9220779220779,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed04_b050,4,0.5,50,1454.892994,1474.493445,97,76,54.2857142857143,76,0,76,78.3505154639175,41.5300546448087,,1,41.5300546448087,78.3505154639175,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed05_b010,5,0.1,10,290.978598800001,315.323220000001,17,11,7.85714285714286,11,0,11,64.7058823529412,6.01092896174863,,1,6.01092896174863,64.7058823529412,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed05_b020,5,0.2,20,581.957197600001,596.545697000001,37,27,19.2857142857143,27,0,27,72.972972972973,14.7540983606557,,1,14.7540983606557,72.972972972973,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed05_b030,5,0.3,30,872.935796400002,875.372198999999,59,45,32.1428571428571,45,0,45,76.271186440678,24.5901639344262,,1,24.5901639344262,76.271186440678,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed05_b040,5,0.4,40,1163.9143952,1176.592075,73,55,39.2857142857143,55,0,55,75.3424657534247,30.0546448087432,,1,30.0546448087432,75.3424657534247,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed05_b050,5,0.5,50,1454.892994,1457.419595,88,64,45.7142857142857,64,0,64,72.7272727272727,34.9726775956284,,1,34.9726775956284,72.7272727272727,97.8723404255319,81.0810810810811,64.8648648648649,25
random_test,seed01_k01,1,0.1,10,290.978598800001,156.126022,183,22,15.7142857142857,22,0,22,12.0218579234973,12.0218579234973,planned,1,12.0218579234973,12.0218579234973,19.1489361702128,12.1621621621622,0,1
random_test,seed01_k02,1,0.2,20,581.957197600001,358.355964000002,183,43,30.7142857142857,43,0,43,23.4972677595628,23.4972677595628,planned,1,23.4972677595628,23.4972677595628,34.0425531914894,25.6756756756757,10.8108108108108,2
random_test,seed01_k03,1,0.3,30,872.935796400002,464.220667999998,183,74,52.8571428571429,74,0,74,40.4371584699454,40.4371584699454,planned,1,40.4371584699454,40.4371584699454,53.1914893617021,35.1351351351351,13.5135135135135,3
random_test,seed01_k05,1,0.4,40,1163.9143952,619.381553999998,183,74,52.8571428571429,74,0,74,40.4371584699454,40.4371584699454,planned,1,40.4371584699454,40.4371584699454,55.3191489361702,37.8378378378378,18.9189189189189,5
random_test,seed01_k06,1,0.5,50,1454.892994,709.196365000002,183,77,55,77,0,77,42.0765027322404,42.0765027322404,planned,1,42.0765027322404,42.0765027322404,61.7021276595745,37.8378378378378,18.9189189189189,6
random_test,seed02_k01,2,0.1,10,290.978598800001,165.560097999997,183,18,12.8571428571429,18,0,18,9.83606557377049,9.83606557377049,planned,1,9.83606557377049,9.83606557377049,17.0212765957447,1.35135135135135,0,1
random_test,seed02_k03,2,0.2,20,581.957197600001,412.653658,183,59,42.1428571428571,59,0,59,32.2404371584699,32.2404371584699,planned,1,32.2404371584699,32.2404371584699,46.8085106382979,24.3243243243243,5.40540540540541,3
random_test,seed02_k04,2,0.3,30,872.935796400002,503.820718000002,183,68,48.5714285714286,68,0,68,37.1584699453552,37.1584699453552,planned,1,37.1584699453552,37.1584699453552,53.1914893617021,29.7297297297297,8.10810810810811,4
random_test,seed02_k06,2,0.4,40,1163.9143952,693.916136999994,183,95,67.8571428571429,95,0,95,51.9125683060109,51.9125683060109,planned,1,51.9125683060109,51.9125683060109,72.3404255319149,51.3513513513514,18.9189189189189,6
random_test,seed02_k07,2,0.5,50,1454.892994,818.770034000002,183,112,80,112,0,112,61.2021857923497,61.2021857923497,planned,1,61.2021857923497,61.2021857923497,76.5957446808511,62.1621621621622,35.1351351351351,7
random_test,seed03_k01,3,0.1,10,290.978598800001,163.898111000001,183,16,11.4285714285714,16,0,16,8.7431693989071,8.7431693989071,planned,1,8.7431693989071,8.7431693989071,23.4042553191489,10.8108108108108,0,1
random_test,seed03_k03,3,0.2,20,581.957197600001,414.598491000004,183,66,47.1428571428571,66,0,66,36.0655737704918,36.0655737704918,planned,1,36.0655737704918,36.0655737704918,57.4468085106383,40.5405405405405,13.5135135135135,3
random_test,seed03_k04,3,0.3,30,872.935796400002,506.334567999996,183,69,49.2857142857143,69,0,69,37.7049180327869,37.7049180327869,planned,1,37.7049180327869,37.7049180327869,59.5744680851064,40.5405405405405,13.5135135135135,4
random_test,seed03_k05,3,0.4,40,1163.9143952,609.694133000001,183,80,57.1428571428571,80,0,80,43.7158469945355,43.7158469945355,planned,1,43.7158469945355,43.7158469945355,70.2127659574468,47.2972972972973,13.5135135135135,5
random_test,seed03_k06,3,0.5,50,1454.892994,821.670159000002,183,86,61.4285714285714,86,0,86,46.9945355191257,46.9945355191257,planned,1,46.9945355191257,46.9945355191257,74.468085106383,52.7027027027027,24.3243243243243,6
random_test,seed04_k00,4,0.1,10,290.978598800001,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,infeasible_no_test_fits,0,0,0,NaN,NaN,NaN,NaN
random_test,seed04_k02,4,0.2,20,581.957197600001,440.622443999998,183,64,45.7142857142857,64,0,64,34.9726775956284,34.9726775956284,planned,1,34.9726775956284,34.9726775956284,55.3191489361702,32.4324324324324,10.8108108108108,2
random_test,seed04_k03,4,0.3,30,872.935796400002,536.707633000001,183,70,50,70,0,70,38.2513661202186,38.2513661202186,planned,1,38.2513661202186,38.2513661202186,57.4468085106383,33.7837837837838,13.5135135135135,3
random_test,seed04_k04,4,0.4,40,1163.9143952,730.412474,183,73,52.1428571428571,73,0,73,39.8907103825137,39.8907103825137,planned,1,39.8907103825137,39.8907103825137,61.7021276595745,41.8918918918919,27.027027027027,4
random_test,seed04_k05,4,0.5,50,1454.892994,854.792876999997,183,91,65,91,0,91,49.7267759562842,49.7267759562842,planned,1,49.7267759562842,49.7267759562842,74.468085106383,52.7027027027027,27.027027027027,5
random_test,seed05_k01,5,0.1,10,290.978598800001,197.672001000002,183,22,15.7142857142857,22,0,22,12.0218579234973,12.0218579234973,planned,1,12.0218579234973,12.0218579234973,19.1489361702128,12.1621621621622,0,1
random_test,seed05_k03,5,0.2,20,581.957197600001,495.546979999997,183,48,34.2857142857143,48,0,48,26.2295081967213,26.2295081967213,planned,1,26.2295081967213,26.2295081967213,36.1702127659574,20.2702702702703,2.7027027027027,3
random_test,seed05_k04,5,0.3,30,872.935796400002,638.007872000001,183,48,34.2857142857143,48,0,48,26.2295081967213,26.2295081967213,planned,1,26.2295081967213,26.2295081967213,36.1702127659574,20.2702702702703,2.7027027027027,4
random_test,seed05_k06,5,0.4,40,1163.9143952,918.293409999996,183,64,45.7142857142857,64,0,64,34.9726775956284,34.9726775956284,planned,1,34.9726775956284,34.9726775956284,53.1914893617021,27.027027027027,2.7027027027027,6
random_test,seed05_k08,5,0.5,50,1454.892994,1159.45437800001,183,79,56.4285714285714,79,0,79,43.1693989071038,43.1693989071038,planned,1,43.1693989071038,43.1693989071038,68.0851063829787,37.8378378378378,10.8108108108108,8
